SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1375897538072|-63.219|-17.196|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[bol,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375897538072/|0.0
GLOBAL_1375898573319|21.797|0.703|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|tmean|[1960_1990,2020_2049]|[global,global]|[2_5min,2_5min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1375898573319/|0.2
PAN_1375901856289|-80.037|8.838|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375901856289/|0.0
GLOBAL_1375904519435|-79.582|8.992|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904519435/|0.0
GLOBAL_1375904545556|12.22|43.479|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ita,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904545556/|0.0
GLOBAL_1375904604855|-79.499|8.986|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904604855/|0.0
PAN_1375904671624|-79.528|8.996|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904671624/|0.0
PAN_1375904679663|-80.316|8.498|ccafs|[current,current]|[tmean]|[1.0]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904679663/|0.0
GLOBAL_1375904684938|-79.51|9.033|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904684938/|0.0
GLOBAL_1375904689258|-79.499|8.99|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904689258/|0.0
PAN_1375904739395|-79.49|9.052|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904739395/|0.0
PAN_1375904824465|-79.561|8.935|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904824465/|0.0
NIC_1375908365173|-85.316|12.725|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[nic,nic]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NIC_1375908365173/|0.0
GLOBAL_1375904803620|-78.901|8.97|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904803620/|0.0
GLOBAL_1375904846982|-79.927|8.573|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375904846982/|0.0
PAN_1375904878427|-79.496|8.973|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904878427/|0.0
PAN_1375904891654|-80.339|7.729|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[pan,pan]|[30s,30s]|[a2,baseline]|/var/www/analogues/outputs/PAN_1375904891654/|0.0
PAN_1375904999200|-80.339|7.729|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375904999200/|0.0
GLOBAL_1375905034127|12.393|41.804|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375905034127/|0.0
PAN_1375905189825|-79.511|8.991|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905189825/|0.0
PAN_1375905213272|-79.516|9.09|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905213272/|0.0
GLOBAL_1375905225018|-79.817|8.957|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375905225018/|0.0
PAN_1375905227697|-79.751|8.512|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905227697/|0.0
PAN_1375905225187|-80.339|7.729|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905225187/|0.0
GLOBAL_1375905347683|-79.466|9.033|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375905347683/|0.0
ITA_1375905339278|-79.565|8.995|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,ita]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/ITA_1375905339278/|0.0
PAN_1375905378569|-80.339|7.772|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905378569/|0.0
PAN_1375905408347|-79.685|8.935|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905408347/|0.0
PAN_1375905416008|-79.488|9.087|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905416008/|0.0
ITA_1375905479333|-79.521|8.973|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,ita]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/ITA_1375905479333/|0.0
PAN_1375905533321|-79.499|8.794|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905533321/|0.0
PAN_1375905734930|-79.576|9.094|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905734930/|0.0
PAN_1375905756862|-79.477|9.087|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905756862/|0.0
GLOBAL_1375905777190|-79.466|8.986|ccafs|[current,current]|[tmean]|[1.0]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375905777190/|0.0
PAN_1375905813928|-80.339|7.772|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905813928/|0.0
ITA_1375905858651|12.242|43.485|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ita,ita]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/ITA_1375905858651/|0.0
NIC_1375905892735|-85.063|13.021|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[nic,nic]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NIC_1375905892735/|0.0
GLOBAL_1375905957559|-79.828|9.011|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375905957559/|0.0
PAN_1375905981530|-79.511|8.991|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375905981530/|0.0
BOL_1375928172035|-66.954|-17.364|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|10:4|none|[1960_1990,1960_1990]|[bol,bol]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/BOL_1375928172035/|0.0
NIC_1375906174052|-86.92|11.422|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[nic,nic]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NIC_1375906174052/|0.0
ITA_1375906236619|-79.499|8.973|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,ita]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/ITA_1375906236619/|0.0
PAN_1375906312787|-80.339|7.772|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375906312787/|0.0
MEX_1375906350959|12.489|43.007|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ita,mex]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/MEX_1375906350959/|0.0
USA_1375906510027|12.533|42.846|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ita,usa]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/USA_1375906510027/|0.0
PAN_1375906661220|-79.444|9.055|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375906661220/|0.0
GLOBAL_1375906718466|-79.685|9.022|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375906718466/|0.0
NIC_1375907134180|-79.444|9.055|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,nic]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NIC_1375907134180/|0.0
PAN_1375907402015|-79.482|9.066|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,pan]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PAN_1375907402015/|0.0
NIC_1375908088857|-80.213|8.686|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[pan,nic]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/NIC_1375908088857/|0.0
GLOBAL_1375913324867|-88.732|17.229|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375913324867/|0.0
GLOBAL_1375973505626|-81.782|29.42|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1375973505626/|0.0
GLOBAL_1375977511844|-81.782|29.42|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375977511844/|0.0
GLOBAL_1375977645736|-81.782|29.42|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375977645736/|0.0
GLOBAL_1375978906825|-88.732|17.229|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1375978906825/|0.0
GLOBAL_1375985877542|0.732|33.593|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1375985877542/|0.3
GLOBAL_1375987651776|146.393|-34.605|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1375987651776/|0.3
GLOBAL_1376073047490|-33.48|-41.684|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376073047490/|0.0
VNM_1376073630449|108.518|14.588|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[vnm,vnm]|[30s,30s]|[a2,baseline]|/var/www/analogues/outputs/VNM_1376073630449/|0.0
VNM_1376073773530|108.518|14.588|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[vnm,vnm]|[30s,30s]|[b1,baseline]|/var/www/analogues/outputs/VNM_1376073773530/|0.0
GLOBAL_1376074585038|-60.258|-25.377|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376074585038/|0.0
GHA_1376075531896|-1.744|7.919|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1376075531896/|0.0
GHA_1376075620146|-1.744|7.919|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[gha,gha]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/GHA_1376075620146/|0.5
COL_1376082452213|-76.574|3.385|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[col,col]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/COL_1376082452213/|0.0
COL_1376083024714|-76.574|3.385|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[col,col]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/COL_1376083024714/|0.2
GLOBAL_1376083399149|36.81|-1.311|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1376083399149/|0.3
GLOBAL_1376087305313|12.48|41.886|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376087305313/|0.0
GLOBAL_1376087742238|12.48|41.886|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376087742238/|0.0
GLOBAL_1376121140923|14.282|40.868|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376121140923/|0.5
GLOBAL_1376122094653|14.249|40.872|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|4:9|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376122094653/|0.0
GLOBAL_1376122272912|14.249|40.872|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|4:9|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376122272912/|0.25
GLOBAL_1376122421741|14.249|40.872|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376122421741/|0.25
GLOBAL_1376122657978|14.249|40.872|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376122657978/|0.2
GLOBAL_1376122966680|-113.511|53.573|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376122966680/|0.2
GLOBAL_1376123549746|-114.038|51.076|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376123549746/|0.2
GLOBAL_1376123686346|-70.62|-33.459|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376123686346/|0.2
GLOBAL_1376123888524|115.851|-31.945|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376123888524/|0.2
GLOBAL_1376124133626|13.353|38.116|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376124133626/|0.2
GLOBAL_1376124408097|15.085|37.508|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376124408097/|0.2
GLOBAL_1376124641993|16.871|41.116|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376124641993/|0.2
GLOBAL_1376124797794|16.871|41.116|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376124797794/|0.2
GLOBAL_1376124921844|16.865|41.049|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376124921844/|0.2
GLOBAL_1376125063737|12.484|41.892|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125063737/|0.2
GLOBAL_1376125231845|14.286|40.869|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125231845/|0.2
GLOBAL_1376125412455|10.177|36.815|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125412455/|0.2
GLOBAL_1376125638033|16.878|41.085|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125638033/|0.2
GLOBAL_1376125756653|13.187|32.867|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125756653/|0.2
GLOBAL_1376125935428|32.633|46.64|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376125935428/|0.2
GLOBAL_1376126208840|-122.406|37.772|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376126208840/|0.2
GLOBAL_1376165727872|16.849|41.111|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ita,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376165727872/|0.2
GLOBAL_1376168027545|12.546|41.935|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376168027545/|0.2
GLOBAL_1376168441695|12.546|41.935|ccafs|[current,current]|[tmean,prec]|[0.6,0.4]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376168441695/|0.2
GLOBAL_1376168698022|12.546|41.935|ccafs|[current,current]|[tmean,prec]|[0.4,0.6]|[12,12]|none|1:12|prec|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1376168698022/|0.2
